	standard_concept_name
3656	eslicarbazepine acetate 800 MG Oral Tablet [Aptiom]
3657	24 HR levetiracetam 750 MG Extended Release Oral Tablet [Keppra]
3658	isotretinoin 30 MG Oral Capsule [Accutane]
3659	ondansetron Injectable Solution [Zofran]
3660	camphor 0.002 MG/MG / menthol 0.035 MG/MG Topical Gel [Freeze It]
3661	lorazepam 2 MG [Ativan]
3662	bupropion hydrochloride 150 MG [Wellbutrin]
3663	amoxicillin 125 MG [Amoxil]
3664	lidocaine 0.045 MG/MG / menthol 0.05 MG/MG Medicated Patch
3665	benzocaine 200 MG/ML / resorcinol 30 MG/ML Vaginal Cream [Vagisil Original Formula]
3666	linezolid Injectable Solution
3667	24 HR methylphenidate hydrochloride 30 MG Chewable Extended Release Oral Tablet
3668	sodium fluoride 0.55 MG Chewable Tablet
3669	fosinopril sodium 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet
3670	ibuprofen 400 MG Oral Tablet [Relcofen]
3671	pentaerythritol
3672	penicillin G benzathine 600000 UNT/ML Injectable Suspension
3673	capsaicin 0.00025 MG/MG / menthol 0.05 MG/MG Medicated Patch
3674	methylprednisolone 20 MG/ML
3675	chlorzoxazone 375 MG Oral Tablet
3676	cefixime 400 MG
3677	dihydroergotamine mesylate 2 MG
3678	Baclofen Injectable Solution
3679	gonadorelin
3680	venlafaxine 25 MG
3681	benzoyl peroxide 60 MG/ML Medicated Liquid Soap [Triaz]
3682	dihydroergotamine mesylate 0.5 MG
3683	amoxicillin 200 MG Oral Tablet
3684	duloxetine 60 MG Delayed Release Oral Capsule
3685	topiramate
3686	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet]
3687	zonisamide 50 MG Oral Capsule
3688	lidocaine hydrochloride 10 MG/ML Injection
3689	bacitracin 5000 UNT/ML Injectable Solution
3690	5 ML sodium bicarbonate 40 MG/ML Injection
3691	demeclocycline
3692	tropicamide 10 MG/ML Ophthalmic Solution
3693	memantine
3694	glyburide 5 MG Oral Tablet [Diabeta]
3695	24 HR verapamil hydrochloride 120 MG Extended Release Oral Capsule
3696	12 HR oxymorphone hydrochloride 20 MG Extended Release Oral Tablet [Opana]
3697	120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera]
3698	linezolid 600 MG Oral Tablet [Zyvox]
3699	clonazepam 1 MG Disintegrating Oral Tablet
3700	atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG Oral Tablet [Lonox]
3701	selenium sulfide 22.5 MG/ML Medicated Shampoo
3702	Tobramycin 80 MG Injectable Solution
3703	lanolin 0.18 MG/MG / petrolatum 0.48 MG/MG / zinc oxide 0.1 MG/MG Topical Ointment [Dr. Smith's Rash-n-All]
3704	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Hycet]
3705	docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet [Laxacin]
3706	metronidazole 7.5 MG/ML Topical Cream [Rosadan]
3707	dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
3708	fenofibrate 134 MG Oral Capsule [Lofibra]
3709	hydrocortisone butyrate 1 MG/ML Topical Cream
3710	mefenamic acid 250 MG Oral Capsule [Ponstel]
3711	4 ML bevacizumab-awwb 25 MG/ML Injection [Mvasi]
3712	250 ML esmolol hydrochloride 10 MG/ML Injection
3713	2 ML meperidine hydrochloride 50 MG/ML Injection
3714	glucosamine hydrochloride 200 MG
3715	24 HR topiramate 200 MG Extended Release Oral Capsule
3716	sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Cream [Rosac]
3717	dextromethorphan hydrobromide 1.5 MG/ML Oral Solution
3718	omeprazole Granules for Oral Suspension [Prilosec]
3719	miconazole nitrate 20 MG/ML Topical Cream [Micaderm]
3720	azatadine maleate 1 MG / pseudoephedrine sulfate 120 MG Extended Release Oral Tablet
3721	bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Topical Ointment
3722	policosanol 30 MG Oral Tablet
3723	inositol 650 MG Oral Tablet
3724	epinephrine 1 MG/ML Ophthalmic Solution
3725	1 ML lorazepam 2 MG/ML Injection
3726	cholecalciferol 0.01 MG Oral Capsule
3727	folic acid 0.8 MG Oral Tablet
3728	pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution
3729	{3 (azithromycin 500 MG Oral Tablet) } Pack
3730	amoxicillin 250 MG Oral Capsule
3731	penicillin V potassium 250 MG Oral Tablet
3732	magnesium sulfate 100 MG Oral Capsule
3733	ketoprofen
3734	hydrochlorothiazide 25 MG / spironolactone 25 MG Oral Tablet
3735	salicylic acid 0.4 MG/MG Paste
3736	500 ML hetastarch 60 MG/ML Injection [Hextend]
3737	2 ML penicillin G benzathine 600000 UNT/ML Prefilled Syringe [Bicillin L-A]
3738	latanoprostene bunod 0.24 MG/ML Ophthalmic Solution [Vyzulta]
3739	amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet]
3740	24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule
3741	24 HR trospium chloride 60 MG Extended Release Oral Capsule [Sanctura]
3742	isotretinoin 10 MG Oral Capsule
3743	cyclopentolate hydrochloride 2 MG/ML / phenylephrine hydrochloride 10 MG/ML Ophthalmic Solution [Cyclomydril]
3744	aluminum chloride
3745	trandolapril
3746	timolol 2.5 MG/ML Ophthalmic Solution [Timoptic]
3747	betamethasone 1 MG/ML Topical Lotion [Valisone]
3748	minocycline 100 MG Oral Tablet [Myrac]
3749	dicloxacillin 500 MG Oral Capsule [Dynapen]
3750	100 ML albumin human, USP 250 MG/ML Injection [Albuminar]
3751	folic acid 20 MG Oral Capsule
3752	metoprolol succinate 200 MG Extended Release Oral Tablet
3753	halazepam 20 MG Oral Tablet
3754	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT]
3755	sulfacetamide sodium 0.1 MG/MG Medicated Bar Soap
3756	calcium citrate 1040 MG Chewable Tablet
3757	zinc gluconate 100 MG Oral Tablet
3758	gabapentin Oral Capsule
3759	nateglinide 120 MG [Starlix]
3760	protriptyline hydrochloride 5 MG [Vivactil]
3761	sulfacetamide sodium 100 MG/ML Medicated Shampoo
3762	pilocarpine hydrochloride 12.5 MG/ML Ophthalmic Solution [Vuity]
3763	metoprolol Injectable Solution
3764	levodopa 42 MG Inhalation Powder [Inbrija]
3765	chlorpheniramine maleate 3.5 MG / phenylephrine hydrochloride 10 MG Oral Tablet
3766	phenylephrine hydrochloride 10 MG Disintegrating Oral Tablet
3767	tetracycline hydrochloride 25 MG/ML Oral Suspension
3768	prednisolone acetate 10 MG/ML Ophthalmic Suspension [Ocu-Pred-A]
3769	loracarbef 20 MG/ML [Lorabid]
3770	glucose 0.45 MG/MG Oral Gel
3771	aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Gen-Lanta]
3772	neomycin 5 MG/ML Ophthalmic Solution
3773	loratadine 10 MG Oral Tablet [Qlearquil Allergy Relief]
3774	12 HR carbetapentane citrate 60 MG / guaifenesin 600 MG Extended Release Oral Tablet
3775	mivacurium
3776	warfarin sodium 7.5 MG Oral Tablet
3777	semaglutide
3778	2 ML metoclopramide 5 MG/ML Injection
3779	alirocumab
3780	calcium carbonate 1500 MG / cholecalciferol 200 UNT Oral Capsule
3781	14 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler
3782	nitroglycerin 0.004 MG/MG Rectal Ointment
3783	200 ML vancomycin 5 MG/ML Injection
3784	codeine sulfate 30 MG Oral Tablet
3785	bupivacaine
3786	nebivolol 5 MG Oral Tablet [Bystolic]
3787	clozapine 12.5 MG Disintegrating Oral Tablet
3788	esomeprazole 40 MG Injection
3789	1 ML triamcinolone acetonide 40 MG/ML Injection
3790	24 HR phentermine 11.25 MG / topiramate 69 MG Extended Release Oral Capsule [Qsymia]
3791	hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Micardis-HCT]
3792	60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]
3793	Urea Topical Lotion [Eucerin]
3794	adapalene 0.001 MG/MG Topical Gel [Differin]
3795	ketotifen 0.25 MG/ML Ophthalmic Solution [Alaway]
3796	dibucaine
3797	1 ML tacrolimus 5 MG/ML Injection
3798	deferoxamine
3799	cholecalciferol 0.625 MG Oral Capsule
3800	bupivacaine hydrochloride 2.5 MG/ML Injectable Solution [Sensorcaine]
3801	armodafinil 200 MG Oral Tablet
3802	pentazocine
3803	isotretinoin 40 MG Oral Capsule [Accutane]
3804	amphetamine sulfate 10 MG Oral Tablet [Evekeo]
3805	20 ML fentanyl 0.05 MG/ML Injection [Sublimaze]
3806	empagliflozin 5 MG / metformin hydrochloride 1000 MG Oral Tablet
3807	urea 400 MG/ML Topical Lotion [Umecta]
3808	vardenafil 20 MG [Levitra]
3809	lisdexamfetamine dimesylate 10 MG Chewable Tablet
3810	aztreonam 2000 MG
3811	sodium chloride 250 MG
3812	28 ACTUAT olodaterol 0.0025 MG/ACTUAT Inhalation Spray
3813	lidocaine hydrochloride 0.5 MG Jet Injector
3814	oxycodone hydrochloride 60 MG [Oxycontin]
3815	nifedipine 10 MG Oral Capsule [Calcipine]
3816	metformin hydrochloride 750 MG [Glucophage]
3817	erythromycin 0.005 MG/MG
3818	sodium chloride 5 MG/ML Nasal Spray [Pediamist]
3819	citalopram 20 MG Oral Tablet [Cipramil]
3820	cortisone 0.01 MG/MG
3821	oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Nostrilla]
3822	12 HR loratadine 5 MG / pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Wal-itin D]
3823	guaifenesin 20 MG/ML Oral Solution [Tusscidin]
3824	acyclovir Oral Capsule
3825	hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension [Otocort Sterile Suspension]
3826	capsaicin Topical Ointment
3827	aspirin 2.5 MG/ML
3828	acarbose 25 MG
3829	sodium bicarbonate 650 MG Oral Tablet
3830	1000 ML sodium chloride 9 MG/ML Injection
3831	acetaminophen 325 MG Oral Tablet [Tylenol]
3832	dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML Oral Solution
3833	acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Vicodin]
3834	benzoyl peroxide 0.025 MG/MG / clindamycin phosphate 0.012 MG/MG Topical Gel
3835	24 HR isosorbide mononitrate 120 MG Extended Release Oral Tablet
3836	clonazepam 0.5 MG Disintegrating Oral Tablet
3837	sennosides, USP
3838	2 ML digoxin 0.25 MG/ML Injection
3839	castor oil 793 MG/ML / Peruvian balsam 88.4 MG/ML Topical Spray
3840	hypromellose 0.003 MG/MG Ophthalmic Gel
3841	sennosides, USP 8.6 MG Oral Tablet [Senexon]
3842	1 ML haloperidol decanoate 100 MG/ML Injection
3843	cefotetan 1000 MG Injection
3844	5 ML baclofen 2 MG/ML Injection
3845	furosemide 20 MG Oral Tablet [Delone]
3846	repaglinide 2 MG Oral Tablet [NovoNorm]
3847	salicylic acid 0.4 MG/MG Medicated Patch
3848	budesonide 0.18 MG/ACTUAT Dry Powder Inhaler
3849	alprostadil 0.125 MG Urethral Suppository
3850	chlorzoxazone 500 MG Oral Tablet [Relax-DS]
3851	suvorexant 10 MG Oral Tablet
3852	dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG Oral Capsule
3853	5 ML potassium chloride 2 MEQ/ML Injection
3854	caffeine 200 MG
3855	hydromorphone Oral Solution
3856	budesonide 0.5 MG/ML [Pulmicort]
3857	niacin 500 MG Extended Release Oral Tablet [Endur-Amide]
3858	thiothixene 1 MG Oral Capsule [Navane]
3859	perampanel 6 MG Oral Tablet
3860	tegaserod 2 MG Oral Tablet
3861	1 ML isoproterenol hydrochloride 0.2 MG/ML Injection [Isuprel]
3862	gentamicin 3 MG/ML Ophthalmic Solution [Genoptic]
3863	spironolactone 25 MG Oral Tablet [Laractone]
3864	sulfacetamide sodium 100 MG/ML Topical Cream [Seb-Prev]
3865	dextroamphetamine 5 MG
3866	prochlorperazine 5 MG Rectal Suppository [Compazine]
3867	glucose 0.45 MG/MG Oral Gel [Dex4]
3868	Vibrio cholerae CVD 103-HGR strain live antigen 12000000 UNT/ML Oral Suspension
3869	amoxicillin 5 MG/ML
3870	alpha-tocopherol succinate 200 UNT / ascorbic acid 100 MG / magnesium sulfate 10 MG / zinc sulfate 18 MG Oral Tablet
3871	tenecteplase
3872	urea 400 MG/ML Topical Lotion [Cerovel]
3873	aspirin
3874	{6 (prednisone 10 MG Oral Tablet) } Pack
3875	codeine phosphate 4 MG/ML / guaifenesin 40 MG/ML / pseudoephedrine hydrochloride 12 MG/ML Oral Solution
3876	dofetilide 0.25 MG Oral Capsule [Tikosyn]
3877	topiramate 100 MG Oral Tablet [Topamax]
3878	modafinil 100 MG Oral Tablet
3879	nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
3880	fenofibrate 130 MG Oral Capsule
3881	oxazepam 10 MG Oral Capsule
3882	250 ML soybean oil 200 MG/ML Injection [Nutrilipid]
3883	Abuse-Deterrent 12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tablet
3884	acetaminophen 325 MG / dichloralphenazone 100 MG / isometheptene 65 MG Oral Capsule [Midrin]
3885	dextroamphetamine sulfate 10 MG Oral Tablet [Dexedrine]
3886	chloroprocaine hydrochloride 10 MG/ML Injectable Solution [Nesacaine]
3887	hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide]
3888	20 ML etomidate 2 MG/ML Prefilled Syringe
3889	diclofenac potassium 50 MG Oral Tablet [Cataflam]
3890	24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet
3891	dexbrompheniramine
3892	metoclopramide 5 MG [Reglan]
3893	1 ML midazolam 5 MG/ML Injection
3894	oxybutynin chloride 15 MG Extended Release Oral Tablet
3895	acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Primlev]
3896	melatonin 1 MG Oral Capsule
3897	heparin sodium, bovine 5000 UNT/ML Injectable Solution
3898	carbachol
3899	hydrochlorothiazide 25 MG / lisinopril 20 MG [Zestoretic]
3900	dexmethylphenidate hydrochloride 20 MG [Focalin]
3901	chondroitin sulfates 40 MG/ML / glucosamine hydrochloride 50 MG/ML Oral Solution
3902	verteporfin
3903	magnesium citrate 300 MG
3904	chlorpheniramine maleate 8 MG / methscopolamine nitrate 2.5 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet
3905	perampanel 6 MG Oral Tablet [FYCOMPA]
3906	neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML / prednisolone 5 MG/ML Ophthalmic Suspension
3907	rabeprazole sodium 10 MG Oral Granules [Aciphex]
3908	miconazole 0.02 MG/MG
3909	camphor 0.0045 MG/MG Topical Gel [Band-Aid Anti-Itch]
3910	ranolazine 500 MG
3911	codeine phosphate 20 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 60 MG Oral Tablet
3912	ascorbic acid 60 MG Chewable Tablet
3913	doxepin hydrochloride 25 MG [Sinequan]
3914	alpha-tocopherol acetate 1.4 MG/ML / ascorbic acid 16 MG/ML / biotin 0.004 MG/ML / dexpanthenol 1 MG/ML / ergocalciferol 0.002 MG/ML / folic acid 0.028 MG/ML / niacinamide 3.4 MG/ML / pyridoxine hydrochloride 0.2 MG/ML / riboflavin 0.28 MG/ML / thiamin...
3915	castor oil 600 MG/ML Oral Suspension
3916	zonisamide 100 MG
3917	morphine sulfate 0.5 MG/ML Injection [Astramorph]
3918	benzonatate 100 MG Oral Capsule [Tessalon Perles]
3919	nortriptyline 25 MG Oral Capsule
3920	docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet
3921	amoxicillin 120 MG/ML / clavulanate 8.58 MG/ML Oral Suspension
3922	ascorbic acid 60 MG / calcium pantothenate 10 MG / D-biotin 0.3 MG / folic acid 0.8 MG / niacinamide 20 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine 1.5 MG / vitamin B12 0.006 MG Oral Tablet [Rena-Vite]
3923	tazobactam
3924	2 ML glycopyrrolate 0.2 MG/ML Injection
3925	doxycycline monohydrate 50 MG Oral Capsule
3926	ganciclovir 250 MG Oral Capsule
3927	1000 ML glucose 50 MG/ML / potassium chloride 0.04 MEQ/ML Injection
3928	nitroglycerin 0.4 MG/HR Transdermal System [Transderm Nitro]
3929	ganciclovir 0.0015 MG/MG Ophthalmic Gel
3930	clindamycin phosphate 0.012 MG/MG / tretinoin 0.00025 MG/MG Topical Gel [Ziana]
3931	5 ML Succinylcholine 20 MG/ML Injectable Solution
3932	24 HR clarithromycin 500 MG Extended Release Oral Tablet [Biaxin]
3933	nitroglycerin 0.1 MG/ML Injection
3934	24 HR budesonide 9 MG Extended Release Oral Tablet [Uceris]
3935	ibuprofen 600 MG Oral Tablet [Saleto-600]
3936	Methacholine Inhalant Solution [Provocholine]
3937	1000 ML glucose 50 MG/ML / sodium chloride 2 MG/ML Injection
3938	clopidogrel 75 MG [Plavix]
3939	zonisamide 100 MG [Zonegran]
3940	bupivacaine hydrochloride 3.75 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution
3941	acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet [Percogesic Reformulated Jan 2011]
3942	desloratadine 2.5 MG Disintegrating Oral Tablet [Clarinex]
3943	diflunisal 500 MG [Dolobid]
3944	glipizide 2.5 MG
3945	progesterone 0.04 MG/MG [Crinone]
3946	methenamine mandelate 500 MG / sodium phosphate, monobasic 500 MG Oral Tablet
3947	methylnaltrexone bromide 20 MG/ML Injection
3948	glucose 250 MG/ML Injectable Solution
3949	hydrocortisone acetate 30 MG Rectal Suppository [Hemril]
3950	diphenhydramine hydrochloride 1.67 MG/ML Oral Solution [Zzzquil]
3951	amoxicillin 500 MG Oral Capsule [Galenamox TP]
3952	soybean oil 100 MG/ML
3953	triamcinolone acetonide 0.25 MG/ML Topical Cream [Aristocort]
3954	valproic acid 500 MG
3955	dexamethasone acetate 8 MG/ML [Dalalone]
3956	12 HR dextromethorphan hydrobromide 40 MG / guaifenesin 700 MG / pseudoephedrine hydrochloride 80 MG Extended Release Oral Tablet
3957	ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / niacin 8 MG/ML / riboflavin 0.6 MG/ML / thiamine 0.5 MG/ML / vitamin A 0.45 MG/ML / vitamin B12 0.002 MG/ML / vitamin B6 0.4 MG/ML / vitamin E 2.25 MG/ML Oral Solution [Poly-Vi-Sol]
3958	diltiazem hydrochloride 180 MG / enalapril maleate 5 MG Extended Release Oral Tablet
3959	aspirin 81 MG Chewable Tablet
3960	dexamethasone 0.25 MG Oral Tablet
3961	ropinirole 0.25 MG Oral Tablet
3962	budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort]
3963	calcium carbonate 1250 MG / cholecalciferol 100 UNT Chewable Tablet
3964	oxcarbazepine 600 MG Oral Tablet
3965	prochlorperazine 5 MG Oral Tablet
3966	lidocaine hydrochloride 30 MG/ML Topical Cream
3967	dofetilide 0.5 MG Oral Capsule
3968	12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tablet
3969	ciprofloxacin Oral Tablet [Cipro]
3970	aluminum hydroxide 200 MG / magnesium hydroxide 200 MG / simethicone 25 MG Chewable Tablet
3971	ganciclovir 250 MG Oral Capsule [Cytovene]
3972	ascorbic acid 120 MG / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 90 MG / vitamin B12 0.012 MG Oral Tablet [Ferralet 90]
3973	cholecalciferol 1.25 MG Oral Tablet [Decalcitrol]
3974	ciclopirox 80 MG/ML Topical Solution [Pedipirox-4]
3975	maprotiline
3976	magnesium sulfate 20 MG/ML Injection
3977	ubidecarenone 6 MG/ML Oral Solution
3978	acetaminophen 500 MG Oral Capsule [Mapap]
3979	verapamil hydrochloride 180 MG Extended Release Oral Tablet [Covera]
3980	PMDD fluoxetine 10 MG Oral Tablet [Sarafem]
3981	nifedipine 60 MG [Procardia]
3982	fluvastatin 40 MG
3983	metoclopramide 5 MG
3984	phenytoin 50 MG [Dilantin]
3985	Oxytocin 10 UNT
3986	270 ACTUAT epinephrine 0.22 MG/ACTUAT Metered Dose Inhaler
3987	ibuprofen 50 MG Chewable Tablet
3988	dextroamphetamine sulfate 20 MG Oral Tablet
3989	nesiritide 1.5 MG Injection
3990	magnesium hydroxide 160 MG/ML Oral Suspension
3991	benzoyl peroxide 100 MG/ML Medicated Liquid Soap [Benzac]
3992	sulfacetamide sodium 98 MG/ML Topical Lotion
3993	salicylic acid 170 MG/ML Topical Solution [Verruguin]
3994	naphazoline hydrochloride 1 MG/ML Ophthalmic Solution [Allersol]
3995	chlophedianol hydrochloride 2.5 MG/ML / dexbrompheniramine maleate 0.2 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution
3996	penicillin V Oral Tablet
3997	diazepam 10 MG Oral Tablet [Alupram]
3998	tolazamide 250 MG [Tolinase]
3999	{48 (prednisolone 5 MG Oral Tablet) } Pack
4000	atomoxetine 40 MG Oral Capsule [Strattera]
4001	diphenhydramine citrate 38 MG / ibuprofen 200 MG Oral Tablet [Motrin PM]
4002	celecoxib
4003	moxifloxacin 5 MG/ML Ophthalmic Solution [Vigamox]
4004	ezetimibe 10 MG / simvastatin 80 MG Oral Tablet
4005	theophylline 200 MG Extended Release Oral Tablet
4006	50 ML sodium bicarbonate 84 MG/ML Prefilled Syringe
4007	penicillin V potassium 25 MG/ML Oral Solution
4008	ciclopirox 7.7 MG/ML Topical Cream
4009	midazolam
4010	enalapril
4011	sildenafil
4012	leucovorin 10 MG Oral Tablet
4013	vancomycin 50 MG/ML Injectable Solution
4014	1 ML hydromorphone hydrochloride 2 MG/ML Cartridge
4015	disopyramide 100 MG Oral Capsule
4016	indomethacin 50 MG Rectal Suppository [Indocin]
4017	{1 (0.5 ML chondroitin sulfates 40 MG/ML / sodium hyaluronate 30 MG/ML Prefilled Syringe [Viscoat]) / 1 (0.55 ML sodium hyaluronate 10 MG/ML Prefilled Syringe [Provisc]) } Pack [Duovisc Kit 0.5/0.55]
4018	24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule [Cardizem]
4019	tapentadol
4020	palonosetron 0.05 MG/ML Injection [Aloxi]
4021	benzocaine 15 MG / menthol 2.6 MG Oral Lozenge
4022	tapentadol 50 MG Oral Tablet
4023	ziconotide Injection
4024	amitriptyline 25 MG
4025	glycopyrrolate 1 MG [Robinul]
4026	calcium glycerophosphate 65 MG Oral Tablet
4027	oxazepam 15 MG Oral Capsule [Serax]
4028	terazosin 10 MG
4029	disopyramide 150 MG Oral Capsule [Norpace]
4030	acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Fioricet with Codeine]
4031	bisoprolol fumarate 5 MG / hydrochlorothiazide 6.25 MG [Ziac]
4032	chlordiazepoxide hydrochloride 25 MG [Librium]
4033	phenylephrine hydrochloride 1.25 MG/ML Nasal Spray
4034	hydromorphone Cartridge
4035	ubidecarenone 600 MG Oral Wafer [Chew Q]
4036	nystatin 100000 UNT/ML Oral Suspension [Infestat]
4037	sumatriptan 20 MG/ACTUAT
4038	sodium chloride 9 MG/ML Injectable Solution
4039	promethazine
4040	naratriptan 2.5 MG Oral Tablet
4041	ropivacaine hydrochloride 2 MG/ML Injection
4042	sacubitril 24 MG / valsartan 26 MG Oral Tablet
4043	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine
4044	magnesium gluconate 200 MG/ML Oral Solution [Magonate]
4045	20 ML dexmedetomidine 0.004 MG/ML Injection [Precedex]
4046	0.6 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe
4047	1 ML ethanol 0.98 ML/ML Injection
4048	brompheniramine maleate 0.2 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution
4049	alginic acid
4050	cobicistat
4051	5 ML ethanol 0.98 ML/ML Injection
4052	100 ML midazolam 1 MG/ML Injection
4053	warfarin sodium 2 MG [Coumadin]
4054	hydrochlorothiazide 12.5 MG / losartan potassium 50 MG [Hyzaar]
4055	insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Prefilled Syringe
4056	bivalirudin 5 MG/ML
4057	Acetaminophen 500 MG / Caffeine 15 MG / Codeine 8 MG Oral Tablet [Tylenol]
4058	hydrocortisone 10 MG/ML Topical Solution
4059	1.7 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Xylocaine with Epinephrine]
4060	solifenacin succinate 5 MG [Vesicare]
4061	methylergonovine maleate 0.2 MG [Methergine]
4062	24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 14 MG Extended Release Oral Capsule
4063	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.333 MG/ML Oral Solution
4064	calcium carbonate 500 MG / cholecalciferol 0.01 MG Oral Tablet
4065	perphenazine 3.2 MG/ML Oral Solution
4066	calcium carbonate 550 MG
4067	lidocaine hydrochloride 0.04 MG/MG Topical Gel [Tranzarel]
4068	cascara sagrada 450 MG Oral Capsule
4069	chlorpromazine hydrochloride 25 MG
4070	benzoyl peroxide 30 MG/ML Medicated Pad [Triaz]
4071	simvastatin 8 MG/ML Oral Suspension
4072	calcium carbonate 200 MG / folic acid 1 MG / pyridoxine 75 MG / vitamin B12 0.012 MG Oral Tablet
4073	atropine sulfate 0.025 MG / difenoxin hydrochloride 1 MG Oral Tablet
4074	phenobarbital 32 MG
4075	omeprazole 20 MG Delayed Release Oral Capsule [Prilosec]
4076	bromocriptine 2.5 MG Oral Tablet [Parlodel]
4077	nystatin 100000 UNT/ML Topical Cream
4078	acetaminophen 325 MG Oral Capsule
4079	ropinirole 2 MG Oral Tablet
4080	zinc sulfate 220 MG Oral Capsule
4081	12 HR bupropion hydrochloride 90 MG / naltrexone hydrochloride 8 MG Extended Release Oral Tablet [Contrave]
4082	fexofenadine hydrochloride 60 MG Oral Capsule
4083	levetiracetam 500 MG Oral Tablet [Keppra]
4084	sitagliptin
4085	hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet [Zestoretic]
4086	24 HR nifedipine 90 MG Extended Release Oral Tablet [Nifediac]
4087	vortioxetine 10 MG Oral Tablet [Brintellix]
4088	24 HR chlorpheniramine maleate 12 MG Extended Release Oral Capsule
4089	erythromycin ethylsuccinate 80 MG/ML Oral Suspension [EryPed]
4090	acetaminophen 33.3 MG/ML Oral Solution [Tylenol]
4091	clomipramine hydrochloride 25 MG Oral Capsule [Anafranil]
4092	0.05 ML aflibercept 40 MG/ML Injection [Eylea]
4093	alosetron
4094	imipramine hydrochloride 10 MG
4095	warfarin sodium 2 MG
4096	vancomycin 125 MG
4097	prednisolone 15 MG
4098	vecuronium bromide 1 MG/ML Injectable Solution [Norcuron]
4099	meprobamate 400 MG Oral Tablet
4100	sodium chloride 4.5 MG/ML Inhalation Solution
4101	droxidopa
4102	24 HR oxcarbazepine 600 MG Extended Release Oral Tablet [Oxtellar]
4103	Ascorbic Acid / Vitamin B Complex Oral Tablet
4104	pindolol 5 MG Oral Tablet [Visken]
4105	cephalexin 500 MG Oral Capsule [Biocef]
4106	fenofibrate 50 MG Oral Capsule
4107	omeprazole 40 MG
4108	mesalamine 1000 MG [Pentasa]
4109	albuterol Injectable Solution
4110	norfloxacin 400 MG [Noroxin]
